"ID","class1","class2","class3","class4","class5","class6","class7","class8","class9"
151,6.22264088054186e-164,0,0,0,2.69083868189814e-137,1.12815837519796e-24,1,0,0
152,1,0,0,0,0,1,0,0,0
153,0,0,1,0,0,0,1.04127543301616e-211,0,1
154,0,0,0,0,0,1,0,0,1
155,0,1,2.22433582931550e-267,6.38866798919416e-14,0,0,1,0,0
156,0,0,1,1,1,0,0,1,0
157,0,1,0,0,0,1,0,3.41035874490958e-193,0
158,0,0,0,7.14506923416222e-210,0,0,0,0,4.87553803271778e-112
159,5.33359115778634e-294,1,3.62957285156494e-264,0,0,0.999994307398018,0,0,1
160,0,0,1,1,1,0,1,0,0
161,0,0,0,0,0,0,1,0,0
162,0,0,1,1,4.03643452251752e-265,1,0,0,1
163,0,0,2.21736534527093e-122,0,0,0,0,0,0
164,0,1.00632321199945e-61,0,1.84415986227217e-286,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0
166,5.55125872604824e-32,0,0,0,8.18671636230351e-276,0,0,0,0
167,0,0,0,0,0,2.51711220750038e-28,1,4.80551342077145e-06,0
168,0,0,0,0,1,1,0,0,0
169,0,0,0,0,1,0,0,0,0
170,0,0,0,0,0,0,0,0,1
171,0,0,0,0,0,0,1,0,0
172,0,0,0,0,0,4.21703547182833e-253,0,8.24800603393605e-183,1
173,1,0,1,0,0,0,0,0,0
174,1,1,0,0,0,5.7421765267711e-158,0,0,1.44561664145051e-218
175,0,0,0,0,0,1,0,0,1
176,1,0,0,1,0,0,0,0,0
177,1,1,0,0,0,0,0,0,0
178,0,0,0,1.68206472537854e-268,1.06264164739151e-89,0,6.09322896177847e-190,0,1
179,0,0,1,0,0,0,0,0,2.35523595250067e-141
180,1,0,0,1,0,1.90358102124952e-205,1,1,3.26921995989877e-176
181,0,2.33349528652011e-62,0,8.93536078695659e-14,0,0,0,0,0
182,1,1,1,1,1.95575000905994e-66,0,1,1,0
183,0,0,0,0,0,1.24765380345915e-94,0,0,1
184,2.741920418231e-283,0,3.4825464011875e-32,0,2.49837323629711e-121,1,0,3.68729131784616e-06,0
185,0,1,0,0,0,3.07949329970773e-217,0,0,0
186,0,1,1,9.23223281586197e-278,1.2928624983025e-170,0,1,0,0
187,1,0,0,5.47664327275846e-170,0,0,0,0,0
188,0,0,1,0,0,0,0,0,0
189,1.03081524808417e-75,0,0,0,0,1,0,0,1
190,1,0,0,0,2.62984938843041e-281,4.92997747072389e-303,1,1.07203737576063e-260,0
191,0,0,0,0,1.61876425516281e-106,0,0,1,0
192,0,0,1,0,1,0,0,0,0
193,0,0,1,1,0,0,0,0,0
194,0,0,0,0,1,0,1.70597348120199e-300,0,0
195,0,0,1,1,0,0,2.30735096426265e-203,0,0
196,3.92534054851316e-255,3.8336443962441e-245,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0
198,0,0,0,0,1,0,0,0,0
199,1,1,0,0,0,0,0,0,0
200,0,0,0,1,0,0,0,0,0
201,0,3.77262569211869e-237,0,0,0,1,0,0,2.42212556451518e-156
202,1,0,0,0,0,0,1,0,0
203,5.33008091512392e-180,3.35861047050019e-214,0,0,0,0,0,0,1
204,4.42314039370425e-94,0,0,0,0,0,1,0,0
205,0,0,0,0,0,0,0,0,1
206,1,0,1,7.54899421441713e-228,0,0,0,1,0
207,0,1,0,0,1.31435651246593e-207,1,0,1,0
208,0,1.24744571769706e-23,1,0,3.71625286369717e-45,1,0,1,0
209,5.8413548561391e-225,0,1,0,1,0,0,0,6.5029529698601e-260
210,0,1,0,0,0,0,0,0,0
211,0,0,0,5.92461754299043e-162,0,0,0,0,0
212,0,0,0,1,1,0,1,1,0
213,0,1,0,0,1,0,0,0,0
214,0,0,0,0,0,0,0,1,0
215,0,1,0,0,0,0,0,0,1
216,0,0,0,0,0,0,0,0,0
217,0,1,0,0,1,0,0,7.14034478546849e-256,0
218,1,1,0,0,0,1,1,1,0
219,0,1.42959273504613e-57,0,0,1,8.76754641304287e-268,1,0,0
220,0,0,1,1,0,0,0,1,0
221,0,0,1,1,1,0,0,0,0
222,1,0,1,0,0,0,0,0,1.42254596349196e-230
223,6.53665537656214e-213,1,1,1,0,0,0,0,1
224,0,0,0,3.45771197962747e-117,1,0,0,0,1
225,0,0,1,0,0,0,0,1,0
226,0,0,0,1.87614957737561e-79,1,0,0,0,0
227,0,0,1,0,0,0,0,2.18211371603835e-170,0
228,0,1,2.77554699987033e-135,4.76702765396678e-263,0,1,0,1.00707204342032e-307,0
229,1,0,0,1,0,0,1,0,1
230,0,0,1,5.58833349978305e-55,8.69179835841247e-173,0,1,1,0
231,0,0,0,0,0,1,1,0,0
232,0,1,0,0,1,0,0,0,0
233,3.67238276286107e-244,0,0,0,0,0,0,0,0
234,0,0,0,0,0,1,0,0,0
235,0,0,0,6.44959211792991e-250,8.03090064300344e-284,0,0,0,0
236,0,0,0,0,0,2.28025158938839e-256,0,0,0
237,0,0,0,0,0,0,0,0,0
238,0,0,2.28653167462604e-280,1,0,0,0,0,0
239,1,0,9.38732664274503e-141,2.56443069134249e-262,0,0,0,0,0.999990887847354
240,0,0,0,0,0,0,0,1,0
241,0,0,0,0,0,3.02190935517662e-80,1,0,0
242,0,5.93946555854466e-151,1,0,1,1.57277802665315e-83,0,0,0
243,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0
245,1,0,0,1,0,1,0,0,0
246,0,3.01201647474239e-14,0,0,5.82585900933307e-226,0,1,7.84783101906702e-196,0
247,0,1,0,0,0,1,1,0,0
248,1,1,0,0,1,0,3.49319947045806e-115,0,0
249,0,0,0,1,0,0,0,0,1
250,0,0,0,1,1,0,0,0,0.00575008888843455
251,0,0,1,0,0,1,0,0,0
252,0,1.12874808387337e-92,0,0,0,0,0,2.16428530383778e-297,9.90649029878387e-54
253,0,0,0,0,0,0,0,9.85487754855346e-195,1.06242614551118e-172
254,0,1,4.24375501554253e-137,0,0,0,0,0,0
255,0,1.47555195627676e-40,1,0,0,0,0,0,0
256,0,0,0,0,0,1,0,0,0
257,0,0,0,0,0,0,0,0,0
258,0,0,0,0,1,1,0,0,7.55318714950569e-71
259,1,0,0,0,0,0,0,0,0
260,0,0,0,1,0,0,0,0,0
261,0,9.19729924815915e-282,0,0,0,5.29713824594682e-25,0,0,1
262,1,1,0,0,1,0,0,1,8.53000816888138e-301
263,1,0,0,0,0,0,0,0,1
264,0,0,0.999999999999994,0,0,0,1,3.47532993056846e-51,1
265,0,0,0,0,0,0,0,1,0
266,0,0,0,0,0,1,0,0,0
267,0,0,0,0,0,0,0,0,0
268,0,0,0,0,1,0,1,0,3.29733833210313e-46
269,0,0,0,4.00169283150066e-156,0,0,0,0,0
270,0,1,6.59712717629314e-192,0,1,0,1,0,0
271,1,1.1898234261826e-298,0,0,0,0,0,0,0
272,1,0,0,1,4.2484269699618e-160,0,0,1,0
273,7.5805462774683e-193,0,0,0,0,0,0,4.05930213731394e-175,1
274,0,0,0,0,2.22184460648766e-203,0,1,1,0
275,0,1,0,1,0,0,0,0,1
276,0,1,0,0,0,0,2.81711967487339e-204,0,3.82287901505387e-281
277,0,1,0,0,2.60804909119055e-43,0,0,0,0
278,0,0,0,1.86030958477489e-295,1,1,0,0,0
279,0,0,0,0,1,0,0,0,0
280,0,0,0,1,0,0,0,0,6.54805304910704e-12
281,1,2.5304609537669e-106,0,0,1,0,0,0,0
282,3.52419473372413e-67,3.14304935360984e-262,0,0,0,0,0,0,1
283,0,1,0,0,1,1,1,0,0
284,1,0,0,1,1,0,1,1,0
285,0,0,1,0,1,0,0,0,1
286,0,0,0,0,0,0,0,3.85784142822164e-257,0
287,1,1,0,0,1,0,1,0,0
288,1,0,0,0,0,1,0,0,0
289,1,1,0,0,0,0,0,0,0
290,0,1.32809623206658e-281,0,0,1,0,0,1,0
291,0,0,0,0,0,0,2.9566477330577e-168,0,0
292,0,0,0.995178262450229,0,2.7367414401275e-225,1,0,1,0.000633964298306438
293,0,0,0,1,1,0,0,0,0
294,0,0,0,1,0,1,0,0,0
295,0,1,0,0,0,8.3278687034976e-307,3.36596378792268e-65,1,0
296,3.42703641578327e-109,0,0,1,0,0,0,0,1
297,0,0,1,0,0,0,0,0,0
298,1,9.88885860247411e-86,0,0,0,0,0,1,0
299,0,0,1,0,0,0.000735031444876921,1,1,0
300,0,1,0,0,0,2.63891563189234e-106,0,1,1
301,0,0,1,0,0,0,0,1,0
302,0,0,0,0,0,0,0,0,0
303,0,0,1,0.999999999979544,0,1,1,1,1.54597067618828e-151
304,0,0,0.99999999999215,1,0,0,1.60027958981304e-296,0,0
305,0,1,0,0,0,0,0,1,0
306,0,0,0,0,1.89739194911419e-93,1,0,0,0
307,1,0,0,0,4.58132313111822e-272,0,0,0,1.24564081029229e-149
308,0,0,0,0,0,0,1,0,0
309,0,0,0,1,1,0,1,2.96395122487318e-175,1
310,0,0,1,1,0,0,0,0,4.40297810575269e-178
311,0,0,2.01010047835129e-196,0,0,0,0,0,0
312,0,1,0,0,0,0,1.43997409717503e-134,1.85028770584455e-135,0
313,0,0,0,0,0,1,0,0,1
314,0,0,0,0,0,1,0,0,0
315,1,0,0,0,6.30491472228927e-197,1,1,1,4.53508227101432e-47
316,1,0,0,0,0,0,0,5.74370745082764e-144,0
317,0,0,0,0,1,1,0,9.74294634754359e-49,0
318,0,0,1,1,0,0,1,1.28243028894407e-243,0
319,0,1,0,0,0,0,9.48951762805475e-171,0,1
320,2.90163482531858e-93,0,0,0,1,0,0,0,0
321,0,0,0,0,0,1,0,0,0
322,0,0,0,0,0,0,0,0,0
323,0,0,0,1,1,3.44458028884412e-100,0,0,0
324,0,0,1,1,0,0,5.81788215774939e-120,0,0
325,0,0,7.22012735686725e-70,8.23688973010547e-80,0,0,0,2.42582928666617e-205,0
326,6.58205866009426e-174,0,0,0,0,0,1,0,0
327,0,0,0,0,0,0,1,0,0
328,0,0,0,0,0,0,0,1,1
329,1,0,0,0,0,4.69765177663668e-152,0,0,0
330,0,0,0,0,1,1,0,1,0
331,0,1,1,0,1,0,0,0,0
332,1,0,1,1.19722448955565e-272,0,0,1.03650878948888e-265,0,0
333,1,0,0,0,0,7.59295771004706e-201,1,0,0
334,0,1,0,0,5.12235299253544e-56,0,1,0,0
335,0,0,0,0,1,0,0,0,0
336,0,0,0,1,0,6.90494949417372e-127,4.27101768883091e-238,0,0
337,0,0,0,0,1.26721251471674e-104,0,0,0,0
338,1,1,0,0,0,0,0,1,0
339,0,1,0,0,0,0,0,1.7390784192841e-176,1
340,0,0,0,0,0,0,1.74244930658956e-167,0,0
341,0,1,0,0,0,0,1,7.92966162004875e-27,0
342,3.49625346353421e-213,0,1,5.67134412370498e-136,1,0,0,0,0
343,0,0,0,0,1,0,3.81355179862321e-247,1,0
344,0,0,0,4.96888432825085e-252,0,0,1,2.03932652646874e-208,1
345,0,0,0,0,0,0,5.7779590259111e-264,0,0
346,0,0,0,0,1,0,0,0,0
347,0,0,0,1,1,0,0,0,1.94960083388053e-64
348,1,0,0,1,0,1,0,0,0
349,0,0.999999999999155,0,0,1,0,0,0,1
350,1,0,0,1,8.63814961129241e-22,0,0,1,0
351,5.2291905765434e-132,0,0,8.70504972075982e-265,0,0,4.99168593081642e-60,0,0
352,0,0,0,0,0,1,1,0,0
353,1,1,1,0,0,0,0,1,1
354,0,0,0,0,1,0,0.976776190110342,0,0
355,0,0,0,0,0,0,7.12090033979205e-225,0,0
356,0,2.03672378241284e-116,5.80576878824332e-219,1,1.23844856157998e-124,1,0,1,0
357,0,0,0,0,1.54501853138084e-108,4.40426267405202e-99,9.15088368401777e-297,0,1
358,1,1.14517517104162e-10,0,0,0,0,0,0,0
359,0,0,0,0,2.03961446886138e-244,0,0,0,1
360,2.17823141142394e-34,0,0,0,0,0,0,0,0
361,0,1,1,0,0,0,6.60022336127467e-258,0,1
362,0,0,0,0,1,0,0,0,0
363,0,1,5.84471303474238e-174,0,0,0,0,0,0
364,3.44204068288196e-164,1,0,1,1,0,0,0,1
365,0,0,1,1,1,0,0,1.36663872953662e-81,0
366,1.54521800564459e-102,0,0,0,0,0,0,0,0
367,0,0,1,0,0,5.50547364044372e-32,0,8.56541750898983e-263,0
368,0,2.73720856989684e-212,0,0,0,0,0,0,0
369,0,8.78265062752801e-13,1,0,0,0,0,0,0
370,0,0,0,0,2.04552337031857e-217,1,0,0,0
371,1,0,0,1,1,1,0,0,0
372,0,0,0,1,0,0,0,0,0
373,1.78090666049125e-247,0,9.40711489962371e-61,0,7.59736413869551e-13,0,0,0,0
374,0,0,0,0,2.67735434245768e-252,0,0,0,0
375,0,0,0,2.39482996982503e-308,0,0,0,0,0
376,0,2.34204036262103e-34,4.61355077754336e-266,6.21957084315124e-12,0,0,8.93793143898327e-270,3.7787963423232e-218,0
377,0,0,3.34089083310299e-94,1,0,1,0,1,1
378,0,0,0,0,0,0,0,0,6.52913871825839e-31
379,0,1,0,1,1,1.19179495942444e-40,1,0,0
380,0,0,0,1,0,0,0,0,0
381,1.65137885140319e-220,0,1,1,1,0,5.8095415833379e-254,0,0
382,1,0,1,0,0,0,0,0,0
383,0,0,1,5.56208262574307e-17,0,0,0,1.87197521995657e-42,7.68535428944904e-29
384,0,0,0,0,0,0,0,1,0
385,0,0,0,1,0,1,1,1,1
386,0,0,0,0,1.0499873166103e-135,0,1,0,0
387,0,0,0,0,0,0,1,0,0
388,1,0,0,0,0,0,0,0,1
389,0.999999999992109,0,0,0,0,0,0,0,1
390,0,0,0,1,0,1,0,0,0
391,0,0,0,1.51859643091607e-55,0,0,1,0,0
392,0,1.88145108810949e-117,0,1,0,0,0,1,0
393,1,0,0,0,1,1,0,0,0
394,0,0,0,1.07211625012698e-113,7.77844220784789e-179,0,2.3260207583097e-13,0,0
395,0,0,0,0,0,0,1,0,0
396,0,0,0,0,1,3.0650099596693e-284,1,0,1
397,0,0,0,0,1,0,0,0,1
398,1,0,0,2.03640095359848e-37,0,0,0,0.0763065411108764,0
399,7.65073233944803e-257,0,0,1,0,0,0,0,0
400,2.3029405504407e-210,0,0,1,1,1,0,0,0
401,1,1,0,1,0,0,0,0,0
402,0,0,0,0,0,1,0,0,1
403,0,1,1,0,0,0,1,0,9.46012438900152e-116
404,1,0,0,1,0,1,0,0,0
405,0,1,1,2.94955302372851e-54,1,0,0,9.00578799686809e-251,0
406,3.04707035776481e-102,0,0,0,0,0,0,0,0
407,0,1.44740381620615e-202,0,1.49454127564308e-79,0,1.20727614470025e-217,0,1,0
408,1,0,0,1,0,1,0,0,9.93841128544782e-292
409,2.65428455358424e-137,1,0,0,0,0,1,0,0
410,0,0,0,0,0,0,0,0,0
411,0,1,1,0,0,0,0,0,0
412,1,0,0,0,0,1,0,0,0
413,1,0,1,0,0,0,0,0,0
414,0,0,0,1.02059589038132e-232,0,0,2.32069578160301e-80,0,0
415,0,1,0,1,1,0,0,4.44121651721137e-51,0
416,0,0,0,0,1,0,1,0,0
417,0,0,0,0,0,0,0,4.85004920828025e-135,1
418,0,0,9.04230465747737e-59,0,1,0,0,0,0
419,0,0,0,0,0,1,0,1,0
420,0,0,0,0,0,0,0,0,0
421,1,0,0,0,0,0,0,0,1
422,0,1,0,6.52931860403827e-139,0,0,0,0,1
423,0,1,0,3.30812817849104e-175,0,0,0,0,1
424,0,2.75022909283089e-214,0,0,0.799623414304587,0,0,0,1
425,1,8.29470006691122e-139,0,1,0,0,0,0,0
426,2.81095036945039e-226,2.28633039446341e-201,1,0,0,0,8.22776418333751e-118,1,1.48228133561369e-131
427,0,0,0,1.13738617898749e-259,0,0,0,0,0
428,1,1,1,0,0,0,0,0,0
429,0,0,0,0,0,0,1,0,0
430,0,0,0,0,0,0,0,0,0
431,1,0,1,0,1.72861472634081e-31,0,0,0,0
432,0,0,1,0,0,0,1,1,0
433,0,0,0,1,0,0,0,0,0
434,1,0,1.56680024435097e-277,0,0,0,0,2.12542902079314e-306,0
435,1,2.36349948321398e-170,0,0,0,0,1,0,0
436,0,0,0,9.47440771122096e-266,0,1,0,5.38814277535288e-139,0
437,1,1,1,2.46881432151899e-105,1,0,0,0.999999999994737,0
438,0,0,0,0,1.29110000061865e-297,1,0,0,1
439,0,1,0,0,0,1,0,1,0
440,0,0,0,0,0,0,0,0,0
441,0,0,0,1,0,5.58002327298904e-93,0,0,0
442,0,0,0,0,0,7.75741822959149e-283,0,1,0
443,0,0,0,0,0,0,0,0,0
444,0,1,1,1,0,0,0,1,0
445,1.95546041863398e-300,0,0,2.34407225468443e-269,0,0,0,1,0
446,0,0,1.32335894011943e-215,0,0,0,0,1,1.4936687126741e-94
447,2.68638928145948e-74,0,0,0,0,0,0,1,0
448,1,0,1,1,2.00052302547736e-38,0,0,0,0
449,0,1,0,0,0,0,1,0,1
450,0,0,1,0,1,0,0,0.99999999999335,0
451,0,0,0,0,1,0,0,1,1.82750506541317e-50
452,0,0,0,0,1,0,0,4.33945830872785e-112,1
453,0,2.16760172970908e-228,0,0,0,2.44466395114584e-05,1,0,0
454,0,0,0,1,0,0,1,1,0
455,0,0,0,0,5.71911350249987e-137,4.49092006429669e-134,0,0,0
456,1,1,1,0,1,1.29101595717486e-266,0,0,1
457,1,0,1,0,0,1.47546325814444e-305,0,0,0
458,0,0,1,0,2.04140786244459e-93,0,1,0,1
459,0,0,0,0,0,0,0,0,0
460,0,1,0,0,0,7.12432637368605e-74,0,0,0
461,1,0,0,0,3.1861045035864e-202,1,0,1,0
462,0,1.344047668996e-206,0,0,0,3.14124883423383e-291,6.36666240245354e-235,1,0
463,0,0,0,1,1,4.86706616040511e-153,0,1,1
464,0,0,0,1,1,0,0,0,1
465,0,0,0,0,0,0,1.11882224304467e-212,2.41665384693454e-297,0
466,1,0,1.23737299451904e-128,0,0,0,1.09519936238663e-222,0,0
467,0,4.36887634666768e-14,4.62864373907673e-76,1.3722516853542e-77,0,0,1,1,1
468,0,1,1.06157274642246e-53,0,1,0,0,8.42138462624418e-265,0
469,0,1,0,0,0,0,0,0,0
470,1.31906202875826e-08,1.03370869214446e-89,0,0,0,0,0,0,0
471,4.07019256695618e-111,0,0,0,0,0,0,1,1.16424558596139e-284
472,1,0,0,1,4.86876771843935e-111,0,0,1,0
473,1,0,4.07779765506752e-242,0,0,0,7.71676516155049e-209,0,1
474,0,1,0,0,0,0,0,0,0
475,0,0,0,0,0,1,1,1,0
476,0,1,0,0,5.01684932752734e-83,0,0,1,0
477,0,0,4.0816217938174e-96,0,0,0,0,0,1
478,0,0,1,1,0,1,0,0,1
479,0,1,1,0,0,6.44044024312659e-21,0,0,0
480,1,0,0,0,0,0,0,0,0
481,1.57181167792327e-294,0,1,0,1.78626438270619e-161,0,1,0,0
482,0,1,1,0,0,0,0,0,0
483,1,0,0,1,0,0,0,0,0
484,1,0,0,0,1,0,1,0,0
485,0,0,0,0,2.8242264402064e-302,1,0,0,0
486,0,0,1,0,1,0,0,1,0
487,1,1,2.077522464347e-256,0,0,3.11967753014677e-136,0,1,6.2378380585058e-276
488,0,0,0,0,1,0,0,0,1
489,0,0,0,1,0,0,0,0,0
490,0,5.93477397866142e-23,0,0,0,0,0,0,0
491,1.32177292570417e-183,1,1,0,0,0,0,0,0
492,0,1,0,5.13777370444092e-81,1,0,1,1,0
493,0,0,0,0,0,0.999999999999896,0,0,0
494,0,0,0,0,0,1,0,1,0
